"Name","Start","End","Length","R","W","X","Volatile","Overlay","Type","Initialized","Byte Source","Source","Comment"
"Code1","1000:0000","1000:2ded","0x2dee","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x1100","",""
"Code2","1008:0000","1008:62a7","0x62a8","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x4000","",""
"Code3","1010:0000","1010:7598","0x7599","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xa300","",""
"Code4","1018:0000","1018:1c3b","0x1c3c","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x118c0","",""
"Code5","1020:0000","1020:983f","0x9840","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x13700\, ","",""
"Code6","1028:0000","1028:59f9","0x59fa","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x1d340","",""
"Code7","1030:0000","1030:a8e2","0xa8e3","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x22f00","",""
"Code8","1038:0000","1038:8125","0x8126","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x2d9c0","",""
"Code9","1040:0000","1040:6b6f","0x6b70","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x362c0","",""
"Code10","1048:0000","1048:d782","0xd783","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x3d380","",""
"Code11","1050:0000","1050:d290","0xd291","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x4aec0","",""
"Code12","1058:0000","1058:9cf8","0x9cf9","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x58500","",""
"Code13","1060:0000","1060:0958","0x959","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x62900","",""
"Code14","1068:0000","1068:1e6d","0x1e6e","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x632c0\, ","",""
"Code15","1070:0000","1070:c851","0xc852","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x65300","",""
"Code16","1078:0000","1078:b83e","0xb83f","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x71c80","",""
"Code17","1080:0000","1080:39d6","0x39d7","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x7d700","",""
"Code18","1088:0000","1088:60bb","0x60bc","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x81340","",""
"Code19","1090:0000","1090:a1c2","0xa1c3","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x87480","",""
"Code20","1098:0000","1098:302e","0x302f","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x91800","",""
"Code21","10a0:0000","10a0:4419","0x441a","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x948c0","",""
"Code22","10a8:0000","10a8:5680","0x5681","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x98d80","",""
"Code23","10b0:0000","10b0:9eb7","0x9eb8","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0x9e840","",""
"Code24","10b8:0000","10b8:8cba","0x8cbb","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xa8b00","",""
"Code25","10c0:0000","10c0:35db","0x35dc","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xb1940","",""
"Code26","10c8:0000","10c8:6e1c","0x6e1d","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xb5080","",""
"Code27","10d0:0000","10d0:5ff3","0x5ff4","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xbc100","",""
"Code28","10d8:0000","10d8:6a54","0x6a55","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xc22c0","",""
"Code29","10e0:0000","10e0:662b","0x662c","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xc8f00","",""
"Code30","10e8:0000","10e8:49bd","0x49be","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xcf8c0","",""
"Code31","10f0:0000","10f0:be92","0xbe93","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xd4440","",""
"Code32","10f8:0000","10f8:82a6","0x82a7","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xe0640","",""
"Code33","1100:0000","1100:5b7d","0x5b7e","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xe8a40","",""
"Code34","1108:0000","1108:a4a3","0xa4a4","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xee600\, ","",""
"Code35","1110:0000","1110:1b9e","0x1b9f","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xf8f00","",""
"Code36","1118:0000","1118:3b94","0x3b95","true","false","true","false","false","Default","true","File: stars26jrc3.exe: 0xfab80","",""
"Data37","1120:0000","1120:65c5","0x65c6","true","true","false","false","false","Default","true","File: stars26jrc3.exe: 0xfef80\, ","",""
"Rsrc0","1128:0000","1128:003f","0x40","true","false","false","false","false","Default","true","File: stars26jrc3.exe: 0x101240","",""
"Rsrc1","1130:0000","1130:003f","0x40","true","false","false","false","false","Default","true","File: stars26jrc3.exe: 0x101280","",""
